transaction_amount,transaction_type,account_age_days,num_previous_transactions,country,device_type,is_foreign_transaction,is_high_risk_country,is_anomaly
1878.9551930483387,withdrawal,2893,303,Canada,desktop,1,0,1
4754.064388985482,deposit,1503,294,US,desktop,0,0,0
3662.6497696389115,transfer,2531,143,India,desktop,0,0,0
2997.3058361432127,deposit,1977,191,Canada,desktop,0,0,0
788.5330158077583,deposit,2706,21,Canada,tablet,1,1,0
788.4126564776512,withdrawal,1207,227,India,tablet,1,1,0
299.8372247193153,deposit,694,313,Canada,desktop,0,1,0
4332.218967416927,withdrawal,41,117,US,mobile,0,0,0
3009.5639085986118,payment,1186,437,Canada,desktop,1,1,0
3543.282163202267,payment,333,302,UK,desktop,1,1,0
112.7166265360542,withdrawal,1793,142,Australia,mobile,1,1,0
4849.850162288351,payment,2860,484,US,tablet,0,1,0
4163.888777594105,transfer,72,460,UK,desktop,1,1,0
1069.572162284598,deposit,973,401,India,desktop,1,0,1
917.3065863634321,transfer,2420,39,US,tablet,0,0,0
925.1885041686347,deposit,1379,393,Australia,tablet,0,1,0
1528.1687923680931,payment,2575,355,Australia,mobile,0,0,0
2628.534593844867,transfer,2441,252,India,tablet,1,0,0
2165.4056430241576,payment,920,333,India,tablet,0,1,0
1463.233409588229,deposit,2504,207,US,tablet,0,1,0
3063.1459446646736,withdrawal,1034,210,Canada,mobile,0,0,0
706.0743646536888,withdrawal,50,115,India,tablet,0,1,0
1467.8017961907385,transfer,436,225,Canada,tablet,1,0,0
1838.1455980355215,payment,2696,134,UK,mobile,0,0,0
2285.7892212430093,payment,1044,251,Australia,tablet,1,1,1
3928.028047351138,transfer,365,219,Canada,tablet,1,0,0
1006.372172970215,withdrawal,1868,407,Australia,mobile,1,0,0
2576.029847683922,deposit,1177,443,Canada,desktop,0,0,0
2966.148698621592,transfer,2476,91,UK,mobile,1,1,0
241.78755947278864,deposit,2870,354,India,tablet,0,1,0
3041.6488109881775,withdrawal,1857,376,UK,tablet,0,1,0
860.9153771995848,payment,744,46,India,tablet,0,1,1
334.6074489965448,withdrawal,80,38,India,mobile,1,0,0
4744.9388308941325,transfer,353,142,Australia,tablet,0,1,0
4828.503845042052,payment,818,100,UK,tablet,0,1,0
4043.902767101141,transfer,170,328,Canada,mobile,0,1,0
1530.0227081751198,transfer,499,190,UK,desktop,1,1,0
497.3838488918555,withdrawal,816,35,Australia,desktop,1,0,0
3424.3228022956628,transfer,1855,147,India,tablet,1,0,0
2206.3609437606106,withdrawal,1387,30,Australia,mobile,0,0,0
618.9707918754464,payment,1946,334,US,tablet,1,1,0
2480.932781455238,withdrawal,993,84,US,mobile,0,1,0
181.5987203649398,payment,402,369,Canada,mobile,0,0,0
4547.508806373123,withdrawal,2571,281,Australia,desktop,1,1,0
1301.3121081840843,deposit,1722,424,Canada,desktop,0,1,0
3315.98619892637,deposit,2828,344,Canada,mobile,1,0,0
1565.4382696861608,transfer,1209,270,US,tablet,0,0,0
2605.139425677276,withdrawal,2368,154,Canada,desktop,1,1,0
2738.0842939229656,withdrawal,1701,102,US,tablet,0,1,0
932.42373307238,payment,135,215,India,desktop,0,1,0
4848.227292545147,transfer,1473,150,Australia,desktop,0,0,0
3877.9127885719618,withdrawal,2747,432,Canada,tablet,0,0,0
4698.099718405304,transfer,1711,83,US,desktop,0,0,0
4475.188478633968,deposit,31,110,UK,desktop,1,0,0
2993.520894267315,withdrawal,2666,435,Canada,tablet,0,1,0
4610.152432765353,withdrawal,2721,387,India,desktop,1,0,1
451.5775852390783,transfer,2167,426,India,desktop,1,0,0
987.9544834715346,withdrawal,379,275,UK,desktop,1,1,0
235.68417166358495,transfer,1316,201,US,tablet,0,1,0
1633.398350508689,withdrawal,1092,284,Canada,mobile,0,1,0
1949.4996755505151,payment,2986,468,US,tablet,0,0,0
1364.0316685517405,transfer,2236,173,India,mobile,1,1,0
4145.400170668127,withdrawal,2389,327,US,desktop,0,1,0
1790.1991002010104,deposit,474,206,India,mobile,0,0,0
1411.86320334003,withdrawal,2375,63,US,tablet,1,0,0
2718.05345495966,deposit,981,73,UK,tablet,1,1,0
713.2118826240657,deposit,65,251,Australia,desktop,1,0,0
4012.962933962658,payment,1137,124,UK,mobile,1,1,0
382.0077119620564,transfer,1505,375,UK,desktop,1,1,0
4934.565813636581,withdrawal,1828,121,Australia,desktop,1,0,0
3863.5013987903203,payment,1875,275,Australia,tablet,0,1,0
1001.5912508555203,withdrawal,1438,431,Canada,mobile,1,0,0
37.55536444677597,deposit,1225,398,Canada,mobile,0,0,0
4079.1525279896223,transfer,1429,120,UK,mobile,0,0,0
3537.2181457996094,withdrawal,1738,422,UK,mobile,0,1,0
3647.7457685245267,withdrawal,1415,437,India,desktop,1,0,0
3858.6390299628692,deposit,2636,317,India,desktop,0,0,0
379.4828121531109,withdrawal,2968,164,Canada,tablet,1,1,0
1798.7439854359204,withdrawal,2218,424,Canada,desktop,1,1,0
588.1866070303972,deposit,2964,465,India,desktop,0,1,0
4316.886095119212,payment,1330,286,India,tablet,1,1,0
3120.257652869514,deposit,2803,265,US,tablet,0,0,0
1661.1811440147194,payment,1273,320,US,tablet,0,0,0
327.1561679272579,transfer,550,161,India,desktop,1,0,0
1561.8017853611543,payment,1836,376,US,desktop,0,1,0
1632.6647769134677,payment,39,308,Australia,tablet,0,1,1
3650.73482990694,transfer,1013,89,Canada,tablet,0,0,0
3191.4117820625133,payment,2455,142,Canada,tablet,1,1,0
4437.191585455869,deposit,1686,203,India,desktop,0,1,0
2366.352476558127,payment,1690,309,UK,desktop,1,0,0
606.7752872321255,transfer,2759,227,India,mobile,1,0,0
3569.091488242745,deposit,2661,489,US,desktop,0,1,0
3806.3173925983183,transfer,2229,443,UK,desktop,0,1,0
2810.7732158717863,transfer,749,334,US,desktop,1,1,0
3857.126227973259,withdrawal,1102,222,Australia,tablet,1,0,0
2474.04002585831,withdrawal,888,41,US,desktop,0,0,0
2618.4368186161505,transfer,1346,196,Australia,tablet,0,0,0
2143.429681609163,transfer,1633,68,Australia,mobile,1,0,0
136.84144245303497,transfer,79,476,US,mobile,1,0,0
548.3782206965892,withdrawal,2741,264,US,tablet,1,1,0
166.8316365768039,withdrawal,2608,2,Australia,tablet,1,1,0
3185.687952206264,payment,2934,361,UK,tablet,1,1,0
1578.6363455708702,payment,175,125,Australia,desktop,0,0,0
2547.767748911867,transfer,944,110,Canada,mobile,1,0,0
4538.756704891204,deposit,1492,86,Australia,tablet,1,0,1
1253.968223452886,deposit,2319,425,UK,desktop,0,1,0
2057.8107859477923,withdrawal,610,120,Canada,mobile,0,0,0
3780.200181329813,withdrawal,2764,127,India,desktop,1,0,0
1151.7028458031962,withdrawal,1614,255,India,mobile,1,1,0
394.12975004567704,transfer,512,183,UK,desktop,0,0,0
1455.8597500397025,deposit,1279,16,Australia,mobile,1,1,0
814.4942233974821,payment,702,477,US,mobile,1,0,0
4649.191285189439,transfer,660,62,UK,desktop,0,0,0
4042.5206940264407,payment,2738,369,Canada,tablet,1,1,0
3170.684744987013,payment,691,432,Canada,mobile,0,1,0
4358.588345036711,transfer,2882,158,India,tablet,0,1,0
4020.3236637265813,payment,2496,268,Canada,desktop,0,1,0
940.9845938413189,deposit,1017,35,UK,tablet,0,1,0
